"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","3","","生成报告","","","","test_case",""
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","0","","生成报告","","","","test_5",""
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","1","","生成报告","","","","test_1",""
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","1","","生成报告","","","","test_2",""
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","1","","生成报告","","","","test_9",""
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","0","","生成报告","","","","test_8",""
"failed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","2","","生成报告","","","","test_4","
    这是对函数的参数、返回值的一个注释
    自我感觉优秀
    "
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","1","","生成报告","","","","test_6",""
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","0","","生成报告","","","","test_7",""
"failed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","1","","生成报告","","","","test_3",""
"passed","Mon Aug 19 10:29:52 CST 2019","Mon Aug 19 10:29:52 CST 2019","1","","生成报告","","","","test_10",""
